product,title,rating,body
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,"5.0 out of 5 stars
Stories",5.0,"Short,simple,good stories with morals and is easy for childrens to read
Read more"
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,"3.0 out of 5 stars
Repeated stories",3.0,"The media could not be loaded.
                



 Most of the stories are repeated..
Read more"
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,"4.0 out of 5 stars
Good for your young kids",4.0,"Very good storybook for young kids at reasonable price, selection of stories, their length and supporting pictures are all good.Can go for it
Read more"
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,"5.0 out of 5 stars
Great Quality",5.0,"Love the book. Its just one page stories but good for children who are begginers in reading. Love the paper quality. Go for it. Worth it.
Read more"
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,"5.0 out of 5 stars
Very good book",5.0,"The media could not be loaded.
                



 Excellent book around 70 rupees that too free delivery. Thank you Amazon
Read more"
Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),"5.0 out of 5 stars
Nice and sturdy",5.0,"Had it have a little bigger letter/figure it could have been best for everyone.
Read more"
Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),"4.0 out of 5 stars
Quality is good but packaging is not k",4.0,"That's why chat middle line are there
Read more"
Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),"5.0 out of 5 stars
Laminated multiplication board",5.0,"My grandson and daughter were immensely benefited
Read more"
Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),"5.0 out of 5 stars
Superb",5.0,"Excellent quality with lamination...my daughter loved it so much...thank you
Read more"
Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),"3.0 out of 5 stars
Ok product.",3.0,"Not bad not very good.
Read more"
Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),"5.0 out of 5 stars
Awesome....worth the money",5.0,"Wonderful packing and quality of the chart. It is wall hangable. Very good...we recommend you to do charts for other languages as well like Kannada...Tamil along with English text for reading easily
Read more"
Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),"4.0 out of 5 stars
Decent chart",4.0,"Its a good enough chart for tables. Quality of laminate and paper print, paper is deceny.I wish there was something too on the other side of the chart. (And priced accordingly) That way, it would have had more utility value.
Read more"
Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),"5.0 out of 5 stars
Very good quality",5.0,"If you want to buy chart go for it. Very good quality at this price
Read more"
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...","5.0 out of 5 stars
Very good. No white cast and easy to apply",5.0,"This does not leave a white cast and feels light on the skin. Spreads easily.Not suggested for oily skin however as it does make skin look dewy or a little oily after sometime. You may consider the matte sunscreen version instead.Not sure about the water resistance - I don't think it is.Good for daily general use.Buy the 80g tube instead of the 50g pump. It's cheaper.
Read more"
